Sample_ID,Huntingtons_Disease,IGF2BP3,YTHDC1,PPP1CC,YTHDF2,CEBPD,YTHDF3,FTO,CEBPB,YTHDC2,YTHDF1
GSM1424207,0,0.04907047,0.0168491,-0.02810991,0.02501783,-0.4819444,0.0333420465,0.120348,-0.1767645,0.1047025,-0.1142325
GSM1424208,0,0.8327951,0.013985176500000002,0.4145802,0.2580141,-0.6829255,0.044288680000000004,-0.07710263,-0.3283266,0.006041923,-0.009897138
GSM1424209,0,1.164618,0.0509877,0.4327549,0.2571809,-0.08443251,0.09355304,-0.1283365,-0.06396538,-0.06286351,0.06971962
GSM1424210,0,-0.04939494,-0.049336895,-0.1416113,0.1037827,0.3195884,0.08204367,0.1604785,0.03251814,-0.1175777,-0.02301095
GSM1424211,0,-0.117343,-0.15309442,-0.1098738,-0.0397028,0.4601589,0.002103510000000003,0.1630485,0.08826078,-0.1768926,-0.02911322
GSM1424212,0,-0.05422864,-0.24696035,-0.2462052,0.1574564,-0.2692066,-0.00561296,0.1805157,-0.1865281,-0.04221845,-0.1204477
GSM1424213,0,-0.1346868,-0.21551093999999998,-0.1585247,-0.09261891,0.5255627,-0.03693536,0.01917093,0.2167,-0.2512023,-0.005086951
GSM1424214,0,-0.06155302,-0.29445324,-0.2716924,-0.1577063,0.002356197,-0.008642665,0.102378,-0.0288766,-0.2026248,-0.1032278
GSM1424215,0,-0.1330438,-0.21121927000000001,-0.1429136,0.1801566,0.5277124,-0.03567403,0.1959597,0.09886625,-0.1158221,0.06596773
GSM1424216,0,-0.01994392,-0.21466015,-0.2300352,0.03431921,0.4955404,0.030030765,0.2050063,0.1735719,-0.1601926,-0.06992616
GSM1424217,0,-0.1365053,-0.16822714,-0.2138564,-0.05127134,0.7659153,0.01725857,0.1181803,0.3243476,-0.1667288,-0.05319581
GSM1424218,0,-0.108855,-0.11830243500000001,-0.1612628,0.01988771,0.08287901,0.035614150000000004,0.1897474,-0.06082219,-0.1400177,-0.03655674
GSM1424219,0,-0.07963155,-0.183496035,-0.1793453,0.006639719,0.3338378,0.0869532405,0.1231709,0.2791542,-0.08494972,-0.03964385
GSM1424220,0,-0.09520019,-0.049894289999999994,-0.1763087,0.0460171,0.04898626,0.04454299,0.1144794,-0.1445145,-0.1418405,-0.01692268
GSM1424221,0,-0.04964491,-0.2223307,-0.2999699,0.05643003,-0.228894,-0.02433027,0.2197966,-0.2119253,-0.1483491,-0.1208583
GSM1424222,0,-0.06965668,-0.21256118499999999,-0.1129479,0.1074438,0.3538221,0.031249019999999995,0.1378297,0.184314,-0.15602,0.02948623
GSM1424223,0,-0.1130184,-0.23021705,-0.1927924,0.1913586,-0.333673,-0.011457345,0.1998112,-0.1539104,-0.1269223,-0.03676644
GSM1424224,0,0.01347306,-0.2416686,-0.1811172,0.1451817,-0.195908,-0.012811899999999998,0.2390377,-0.1104968,-0.04636141,-0.07744554
GSM1424225,0,-0.08646073,-0.20082735000000002,-0.1281322,0.1094157,-0.3905215,-0.045863336500000004,0.1679723,-0.2302215,-0.006039944,-0.1817636
GSM1424226,0,0.002528929,-0.10665163,-0.1222546,0.1684363,-0.3882834,-0.0129843955,0.1699606,-0.2357969,0.01552145,-0.08601633
GSM1424227,0,-0.1289241,-0.19806011,-0.2392303,0.0642821,-0.4497984,-0.11752979000000001,0.2377064,-0.2658507,-0.1263593,-0.08271809
GSM1424228,0,0.03747987,-0.13854224999999998,-0.1372069,0.1624913,-0.419265,-0.008539210000000002,0.2112102,-0.2725347,0.03408017,-0.05750832
GSM1424229,0,0.005560738,-0.2489289,-0.1807123,0.2236684,-0.3492619,-0.05170061,0.3421883,-0.2394009,-0.03982904,-0.1114002
